7010,7447,7448,7855,7853,7852,7449
0.0825,0.0535,0.1375,0.064,0.0735,0.0775,0.0805
0.0715,0.053,0.061,0.0625,0.073,0.118,0.0735
0.078,0.0555,0.0625,0.0605,0.117,0.0835,0.0725
0.0835,0.0665,0.0605,0.0605,0.094,0.091,0.079
0.082,0.053,0.0535,0.0585,0.083,0.08,0.073
0.073,0.0525,0.0635,0.057,0.0845,0.0945,0.074
0.084,0.1035,0.254,0.063,0.09,0.077,0.069
0.0865,0.0505,0.07,0.065,0.085,0.08,0.0705
0.081,0.0525,0.06,0.0605,0.079,0.081,0.071
0.0745,0.0515,0.1975,0.0585,0.163,0.08,0.0705
0.1745,0.0515,0.0665,0.059,0.0835,0.086,0.0725
0.0805,0.0635,0.0625,0.0595,0.0795,0.128,0.0725
0.0795,0.054,0.054,0.0585,0.089,0.0845,0.0695
0.0785,0.091,0.17,0.056,0.093,0.0865,0.0695
0.088,0.0545,0.0665,0.06,0.0935,0.1215,0.0715
0.07,0.059,0.0765,0.064,0.095,0.0815,0.07
0.074,0.051,0.06,0.06,0.095,0.078,0.077
0.078,0.05,0.07,0.059,0.077,0.086,0.069
0.085,0.05,0.063,0.0575,0.076,0.1265,0.069
0.075,0.0525,0.0525,0.056,0.0775,0.0725,0.0715
0.072,0.0715,0.0565,0.0565,0.0825,0.0895,0.0725
0.0805,0.054,0.055,0.0575,0.086,0.086,0.078
0.077,0.055,0.081,0.0615,0.094,0.0855,0.0795
