tag,pep_no,7010,7447,7448,7855,7853,7852,7449,#wbpos,#pbmcpos,8740,8742,8743,8744,wbmean
CFP10.1_300,,0.0755,0.0545,0.347,0.063,0.124,0.1225,0.0855,2,2,0.07,0.3815,0.521,0.004,0.244125
CFP10.2_301,,0.095,0.052,0.243,0.07,0.106,0.2965,0.0715,2,2,0.058,0.179,1.5785,-0.003,0.453125
CFP10.7_302,,0.9465,1.7805,0.39,0.135,0.587,0.12,2.1065,3,6,0.299,0.89,3.608,0.0395,1.209125
CFP10.8_303,,0.091,1.08,0.256,0.069,0.145,0.3535,0.2395,2,5,0.0865,0.563,0.9135,0.0035,0.391625
CFP10.9_304,,0.476,1.5535,0.251,0.075,0.495,1.2645,0.1635,4,7,1.169,2.727,0.718,0.3335,1.236875
ESAT-6 p45_305,,0.5755,0.293,0.531,0.087,1.146,3.698,0.123,4,7,1.403,3.532,1.9335,0.5435,1.853
ESAT-6 p46_306,,0.3865,0.165,0.5,0.061,0.246,1,0.1685,3,6,0.3035,0.3395,1.1805,0.04,0.465875
ESAT-6 p47_307,,0.385,0.133,0.61,0.074,0.522,0.8465,0.086,3,7,0.365,0.517,2.504,0.051,0.85925
ESAT-6 p51_308,,1.0445,0.0505,0.25,0.125,2.544,0.6605,0.0705,4,5,1.052,2.0945,1.925,0.433,1.376125
ESAT-6 p52_309,,0.2595,0.0545,1.105,0.117,0.929,2.6335,0.0705,4,5,1.7695,3.7765,3.336,0.624,2.3765
ESAT-6 p53_310,,0.7695,0.0545,1.115,0.078,1.292,1.738,0.0715,4,5,0.706,3.1705,2.0115,0.439,1.58175
ESAT-6 p55_311,,0.201,0.1755,0.766,0.111,0.463,0.739,0.0695,4,6,0.716,2.4735,0.863,0.619,1.167875
Mb0054_243,#21,0.0785,0.0795,0.296,0.061,0.094,0.0995,0.129,0,2,0.044,0.0735,0.058,-0.0145,0.04025
Mb0054_244,#52,0.066,0.0575,0.137,0.059,0.087,0.102,0.112,0,1,0.047,0.0555,0.0575,-0.0055,0.038625
Mb0057_237,#1,0.071,0.0555,0.059,0.07,0.072,0.103,0.075,0,1,0.047,0.062,0.0555,-0.007,0.039375
Mb0151_276,#10,0.089,0.055,0.247,0.058,0.088,0.1385,0.0705,0,1,0.05,0.05,0.052,-0.013,0.03475
Mb0151_277,#196,0.0725,0.0625,0.303,0.058,0.107,0.1185,0.0685,0,1,0.048,0.0525,0.0615,-0.0005,0.040375
Mb0169_245,#36,0.065,0.0585,0.132,0.057,0.107,0.0785,0.1015,0,1,0.0445,0.05,0.0535,-0.0155,0.033125
Mb0169_246,#32,0.0755,0.078,0.346,0.069,0.085,0.318,0.0735,0,3,0.0535,0.056,0.0585,-0.0045,0.040875
Mb0247c_251,#213,0.0635,0.0525,0.41,0.062,0.094,0.13,0.067,0,1,0.047,0.0575,0.062,-0.0065,0.04
Mb0247c_252,#118,0.184,0.0515,0.166,0.057,0.074,0.0815,0.069,0,1,0.058,0.052,0.0595,-0.0015,0.042
Mb0247c_253,#136,0.095,0.0605,0.08,0.07,0.077,0.0845,0.0685,0,1,0.0505,0.05,0.0575,0.0075,0.041375
Mb0253c_239,#197,0.0565,0.054,0.742,0.065,0.093,0.4715,0.0675,0,2,0.048,0.0865,0.0785,-0.0065,0.051625
Mb0253c_241,#151,0.0915,0.1045,0.064,0.061,0.076,0.1015,0.07,0,1,0.053,0.049,0.061,0.0055,0.042125
Mb0253c_242,#83,0.075,0.0615,0.137,0.067,0.091,0.164,0.0715,1,1,0.0725,0.1995,0.1145,-0.003,0.095875
Mb0256c_258,#115,0.1835,0.052,0.052,0.058,0.075,0.2365,0.0695,0,2,0.128,0.0525,0.063,0.015,0.064625
Mb0473c_225,#116,0.2365,0.3525,0.739,0.067,0.18,0.5465,0.182,0,6,0.0985,0.069,0.074,0.0025,0.061
Mb0473c_226,#228,0.0915,0.074,0.165,0.058,0.099,0.103,0.071,0,0,0.049,0.0525,0.0695,0.0015,0.043125
Mb0511_278,#150,0.065,0.0545,0.052,0.06,0.073,0.2345,0.0675,0,1,0.0735,0.081,0.0665,0.003,0.056
Mb0511_279,#26,0.077,0.1165,0.302,0.063,0.153,0.161,0.1125,2,5,0.0525,0.2375,0.183,-0.01,0.11575
Mb0511_280,#78,0.072,0.0605,0.352,0.06,0.076,0.149,0.072,0,2,0.0945,0.067,0.089,-0.0105,0.06
Mb0595c_196,#243,0.0525,0.055,0.057,0.057,0.08,0.1635,0.078,0,1,0.047,0.0565,0.064,-0.006,0.040375
Mb0595c_197,#125,0.1165,0.0525,0.053,0.059,0.075,0.0915,0.0775,1,0,0.048,0.0505,0.056,0.535,0.172375
Mb0674_217,#247,0.0825,0.0565,0.055,0.057,0.082,0.091,0.07,0,0,0.0495,0.052,0.0655,-0.0065,0.040125
Mb0674_218,#64,0.085,0.056,0.321,0.059,0.079,0.112,0.117,1,2,0.0515,0.1575,0.06,-0.0115,0.064375
Mb0674_219,#28,0.0505,0.0535,0.053,0.06,0.079,0.068,0.084,0,1,0.0455,0.052,0.054,-0.014,0.034375
Mb0674_220,#192,0.064,0.051,0.268,0.059,0.21,1.0515,0.066,4,3,0.6535,1.8655,2.324,0.1085,1.237875
Mb0674_221,#8,0.0935,0.0625,0.356,0.072,0.104,0.125,0.0755,0,2,0.045,0.0895,0.069,-0.0005,0.05075
Mb0674_222,#50,0.081,0.175,0.372,0.06,0.138,0.135,0.23,0,3,0.049,0.0545,0.071,-0.008,0.041625
Mb0720_192,#147,0.166,0.0515,0.054,0.06,0.077,0.085,0.0685,0,1,0.055,0.049,0.0585,0.005,0.041875
Mb0720_193,#109,0.125,0.052,0.053,0.056,0.074,0.078,0.071,0,0,0.0555,0.053,0.0585,-0.0025,0.041125
Mb0722_266,#121,0.2075,0.0525,0.135,0.058,0.115,0.144,0.071,0,2,0.095,0.064,0.1105,0.0045,0.0685
Mb0722_267,#22,0.079,0.0825,0.097,0.066,0.178,0.1535,0.1385,0,3,0.0485,0.14,0.0785,-0.0125,0.063625
Mb0727_285,#79,0.0715,0.116,0.467,0.058,0.09,0.222,0.0805,0,3,0.047,0.0945,0.0985,-0.01,0.0575
Mb0727_286,#112,0.138,0.052,0.09,0.059,0.08,0.095,0.069,0,0,0.0565,0.049,0.0535,0,0.03975
Mb0727_287,#206,0.0735,0.05,0.061,0.058,0.077,0.1875,0.074,0,1,0.051,0.0575,0.057,-0.0035,0.0405
Mb0739_281,#134,0.1495,0.053,0.053,0.058,0.134,0.105,0.072,0,1,0.0515,0.085,0.074,0.0035,0.0535
Mb0741_227,#135,0.183,0.0535,0.085,0.059,0.083,0.0845,0.071,1,1,0.2195,0.05,0.0565,-0.001,0.08125
