tag,8740_val,8742_val,8743_val,8744_val,8740,8742,8743,8744,#pos
Mb2645c_180,0.1035,0.055,0.0555,-0.011,-,-,-,-,0
Mb2649_140,0.0475,0.05,0.0585,0.0005,-,-,-,-,0
Mb2733_167,0.0935,0.584,0.441,0.031,-,positive,positive,-,2
Mb2734_13,0.088,0.4145,0.325,-0.007,-,positive,positive,-,2
Mb2772_68,0.074,0.0615,0.0625,0.018,-,-,-,-,0
Mb2800c_119,0.0505,0.4145,0.0585,-0.0055,-,positive,-,-,1
Mb2809c_145,0.054,0.0515,0.0555,0.008,-,-,-,-,0
Mb2826_194,0.0525,0.316,0.1295,-0.002,-,positive,-,-,1
Mb2826_195,0.057,0.0535,0.0575,0.003,-,-,-,-,0
Mb2842c_94,0.0495,0.095,0.134,-0.0135,-,-,-,-,0
Mb2898_151,0.052,0.1485,0.1635,-0.0145,-,-,positive,-,1
Mb2903c_124,0.052,0.517,0.108,-0.003,-,positive,-,-,1
Mb2939c_95,0.0455,0.114,0.083,0.0015,-,-,-,-,0
Mb2962_148,0.0435,0.049,0.056,-0.0105,-,-,-,-,0
Mb2962_69,0.058,0.0495,0.0515,-0.0115,-,-,-,-,0
Mb2963_70,0.0775,0.0715,0.066,0.015,-,-,-,-,0
Mb2973c_9,0.0805,0.407,0.2185,0.0025,-,positive,positive,-,2
Mb2976_114,0.0455,0.0505,0.0575,-0.0145,-,-,-,-,0
Mb2978c_34,0.134,0.3705,0.9845,-0.002,-,positive,positive,-,2
Mb2978c_60,0.062,0.055,0.1125,0.005,-,-,-,-,0
Mb2979c_108,0.104,0.337,0.141,-0.0205,-,positive,-,-,1
Mb2983c_131,0.063,0.104,0.1875,-0.011,-,-,positive,-,1
Mb2994c_109,0.049,0.0495,0.0545,-0.014,-,-,-,-,0
Mb3011c_152,0.0455,0.307,0.056,-0.002,-,positive,-,-,1
Mb3011c_153,0.0465,0.062,0.058,-0.0145,-,-,-,-,0
Mb3019c_1,0.0865,0.3995,0.7535,-0.001,-,positive,positive,-,2
