7010,7447,7448,7855,7853,7852,7449
0.155,0.052,0.0505,0.047,0.062,0.057,0.048
0.131,0.049,0.065,0.0485,0.0525,0.053,0.0535
0.1315,0.0455,0.0915,0.047,0.047,0.048,0.0615
0.149,0.0495,0.056,0.047,0.0515,0.0485,0.0475
0.1605,0.047,0.0505,0.0475,0.049,0.049,0.0495
0.1595,0.047,0.0785,0.045,0.0555,0.0515,0.0475
0.135,0.062,0.074,0.05,0.0545,0.0555,0.0525
0.1675,0.0465,0.051,0.047,0.052,0.054,0.061
0.1785,0.067,0.0545,0.0485,0.0505,0.139,0.095
0.1335,0.0465,0.2175,0.051,0.0545,0.053,0.0505
0.154,0.0495,0.3345,0.0505,0.0535,0.0625,0.046
0.1435,0.0455,0.0955,0.048,0.0505,0.0555,0.0465
0.1215,0.053,0.046,0.0465,0.048,0.0485,0.0455
0.131,0.0465,0.0475,0.0455,0.048,0.048,0.048
0.1385,0.045,0.052,0.0445,0.047,0.1725,0.0465
0.157,0.045,0.059,0.0535,0.047,0.0535,0.0555
0.1315,0.0465,0.0525,0.0485,0.054,0.0705,0.0625
0.155,0.0705,0.7885,0.046,0.268,0.1235,0.0765
0.1565,0.062,0.061,0.054,0.0565,0.064,0.0475
0.13,0.0475,0.305,0.0545,0.0495,0.048,0.0455
0.1225,0.05,0.0495,0.05,0.051,0.0515,0.0455
0.12,0.047,0.045,0.0485,0.0545,0.0495,0.0475
0.1385,0.049,0.046,0.047,0.048,0.053,0.0475
