,"strain","sample_title","organism","isolate","host","isolation_source","collection_date","year","county","province","host_tissue_sampled","country","status","clade","BioSample","BioProject","id","AssemblyAccession","BioSampleAccn","BioSampleId","SubmitterOrganization","geo_loc_name","region","species","ST"
"SRR3954767","Mb22",,,,,,,,,,,"Australia",,,"SAMN05444204","PRJNA335520",,,,,,,"Oceania",,
"SRR3954768","Mb23",,,,,,,,,,,"Australia",,,"SAMN05444205","PRJNA335520",,,,,,,"Oceania",,
"SRR3954769","Mb24",,,,,,,,,,,"Australia",,,"SAMN05444206","PRJNA335520",,,,,,,"Oceania",,
"SRR3954770","Mb25",,,,,,,,,,,"Australia",,,"SAMN05444207","PRJNA335520",,,,,,,"Oceania",,
"SRR3954771","Mb26",,,,,,,,,,,"Australia",,,"SAMN05444208","PRJNA335520",,,,,,,"Oceania",,
"SRR3954772","Mb27",,,,,,,,,,,"Australia",,,"SAMN05444209","PRJNA335520",,,,,,,"Oceania",,
"SRR3954773","Mb28",,,,,,,,,,,"Australia",,,"SAMN05444210","PRJNA335520",,,,,,,"Oceania",,
"SRR3954774","Mb29",,,,,,,,,,,"Australia",,,"SAMN05444211","PRJNA335520",,,,,,,"Oceania",,
"SRR3954775","Mb30",,,,,,,,,,,"Australia",,,"SAMN05444212","PRJNA335520",,,,,,,"Oceania",,
"SRR3954776","Mb31",,,,,,,,,,,"Australia",,,"SAMN05444213","PRJNA335520",,,,,,,"Oceania",,
"SRR3954777","Mb04",,,,,,,,,,,"Australia",,,"SAMN05444187","PRJNA335520",,,,,,,"Oceania",,
"SRR3954778","Mb32",,,,,,,,,,,"Australia",,,"SAMN05444214","PRJNA335520",,,,,,,"Oceania",,
"SRR3954779","Mb33",,,,,,,,,,,"Australia",,,"SAMN05444215","PRJNA335520",,,,,,,"Oceania",,
"SRR3954780","Mb34",,,,,,,,,,,"Australia",,,"SAMN05444216","PRJNA335520",,,,,,,"Oceania",,
"SRR3954781","Mb35",,,,,,,,,,,"Australia",,,"SAMN05444217","PRJNA335520",,,,,,,"Oceania",,
"SRR3954782","Mb36",,,,,,,,,,,"Australia",,,"SAMN05444218","PRJNA335520",,,,,,,"Oceania",,
"SRR3954783","Mb37",,,,,,,,,,,"Australia",,,"SAMN05444219","PRJNA335520",,,,,,,"Oceania",,
"SRR3954784","Mb39",,,,,,,,,,,"Australia",,,"SAMN05444220","PRJNA335520",,,,,,,"Oceania",,
"SRR3954785","Mb40",,,,,,,,,,,"Australia",,,"SAMN05444221","PRJNA335520",,,,,,,"Oceania",,
"SRR3954786","Mb41",,,,,,,,,,,"Australia",,,"SAMN05444222","PRJNA335520",,,,,,,"Oceania",,
"SRR3954787","Mb42",,,,,,,,,,,"Australia",,,"SAMN05444223","PRJNA335520",,,,,,,"Oceania",,
"SRR3954788","Mb05",,,,,,,,,,,"Australia",,,"SAMN05444188","PRJNA335520",,,,,,,"Oceania",,
"SRR3954789","Mb43",,,,,,,,,,,"Australia",,,"SAMN05444224","PRJNA335520",,,,,,,"Oceania",,
"SRR3954790","Mb44",,,,,,,,,,,"Australia",,,"SAMN05444225","PRJNA335520",,,,,,,"Oceania",,
"SRR3954791","Mb45",,,,,,,,,,,"Australia",,,"SAMN05444226","PRJNA335520",,,,,,,"Oceania",,
"SRR3954792","Mb46",,,,,,,,,,,"Australia",,,"SAMN05444227","PRJNA335520",,,,,,,"Oceania",,
"SRR3954793","Mb47",,,,,,,,,,,"Australia",,,"SAMN05444228","PRJNA335520",,,,,,,"Oceania",,
"SRR3954794","Mb48",,,,,,,,,,,"Australia",,,"SAMN05444229","PRJNA335520",,,,,,,"Oceania",,
"SRR3954795","Mb50",,,,,,,,,,,"Australia",,,"SAMN05444230","PRJNA335520",,,,,,,"Oceania",,
"SRR3954796","Mb52",,,,,,,,,,,"Australia",,,"SAMN05444231","PRJNA335520",,,,,,,"Oceania",,
"SRR3954797","Mb53",,,,,,,,,,,"Australia",,,"SAMN05444232","PRJNA335520",,,,,,,"Oceania",,
"SRR3954798","Mb54",,,,,,,,,,,"Australia",,,"SAMN05444233","PRJNA335520",,,,,,,"Oceania",,
"SRR3954799","Mb06",,,,,,,,,,,"Australia",,,"SAMN05444189","PRJNA335520",,,,,,,"Oceania",,
"SRR3954800","Mb55",,,,,,,,,,,"Australia",,,"SAMN05444234","PRJNA335520",,,,,,,"Oceania",,
"SRR3954801","Mb56",,,,,,,,,,,"Australia",,,"SAMN05444235","PRJNA335520",,,,,,,"Oceania",,
"SRR3954802","Mb57",,,,,,,,,,,"Australia",,,"SAMN05444236","PRJNA335520",,,,,,,"Oceania",,
"SRR3954803","Mb59",,,,,,,,,,,"Australia",,,"SAMN05444237","PRJNA335520",,,,,,,"Oceania",,
"SRR3954804","Mb60",,,,,,,,,,,"Australia",,,"SAMN05444238","PRJNA335520",,,,,,,"Oceania",,
"SRR3954805","Mb61",,,,,,,,,,,"Australia",,,"SAMN05444239","PRJNA335520",,,,,,,"Oceania",,
"SRR3954806","Mb63",,,,,,,,,,,"Australia",,,"SAMN05444240","PRJNA335520",,,,,,,"Oceania",,
"SRR3954807","Mb64",,,,,,,,,,,"Australia",,,"SAMN05444241","PRJNA335520",,,,,,,"Oceania",,
"SRR3954808","Mb65",,,,,,,,,,,"Australia",,,"SAMN05444242","PRJNA335520",,,,,,,"Oceania",,
"SRR3954809","Mb67",,,,,,,,,,,"Australia",,,"SAMN05444243","PRJNA335520",,,,,,,"Oceania",,
"SRR3954810","Mb07",,,,,,,,,,,"Australia",,,"SAMN05444190","PRJNA335520",,,,,,,"Oceania",,
"SRR3954811","Mb68",,,,,,,,,,,"Australia",,,"SAMN05444244","PRJNA335520",,,,,,,"Oceania",,
"SRR3954812","Mb69",,,,,,,,,,,"Australia",,,"SAMN05444245","PRJNA335520",,,,,,,"Oceania",,
"SRR3954813","Mb71",,,,,,,,,,,"Australia",,,"SAMN05444246","PRJNA335520",,,,,,,"Oceania",,
"SRR3954814","Mb72",,,,,,,,,,,"Australia",,,"SAMN05444247","PRJNA335520",,,,,,,"Oceania",,
"SRR3954815","Mb74",,,,,,,,,,,"Australia",,,"SAMN05444248","PRJNA335520",,,,,,,"Oceania",,
"SRR3954816","Mb75",,,,,,,,,,,"Australia",,,"SAMN05444249","PRJNA335520",,,,,,,"Oceania",,
"SRR3954817","Mb76",,,,,,,,,,,"Australia",,,"SAMN05444250","PRJNA335520",,,,,,,"Oceania",,
"SRR3954818","Mb77",,,,,,,,,,,"Australia",,,"SAMN05444251","PRJNA335520",,,,,,,"Oceania",,
"SRR3954819","Mb79",,,,,,,,,,,"Australia",,,"SAMN05444252","PRJNA335520",,,,,,,"Oceania",,
"SRR3954820","Mb80",,,,,,,,,,,"Australia",,,"SAMN05444253","PRJNA335520",,,,,,,"Oceania",,
"SRR3954821","Mb08",,,,,,,,,,,"Australia",,,"SAMN05444191","PRJNA335520",,,,,,,"Oceania",,
"SRR3954822","Mb81",,,,,,,,,,,"Australia",,,"SAMN05444254","PRJNA335520",,,,,,,"Oceania",,
"SRR3954823","Mb82",,,,,,,,,,,"Australia",,,"SAMN05444255","PRJNA335520",,,,,,,"Oceania",,
"SRR3954824","Mb83",,,,,,,,,,,"Australia",,,"SAMN05444256","PRJNA335520",,,,,,,"Oceania",,
"SRR3954825","Mb84",,,,,,,,,,,"Australia",,,"SAMN05444257","PRJNA335520",,,,,,,"Oceania",,
"SRR3954826","Mb85",,,,,,,,,,,"Australia",,,"SAMN05444258","PRJNA335520",,,,,,,"Oceania",,
"SRR3954827","Mb87",,,,,,,,,,,"Australia",,,"SAMN05444259","PRJNA335520",,,,,,,"Oceania",,
"SRR3954828","Mb89",,,,,,,,,,,"Australia",,,"SAMN05444260","PRJNA335520",,,,,,,"Oceania",,
"SRR3954829","Mb90",,,,,,,,,,,"Australia",,,"SAMN05444261","PRJNA335520",,,,,,,"Oceania",,
"SRR3954830","Mb91",,,,,,,,,,,"Australia",,,"SAMN05444262","PRJNA335520",,,,,,,"Oceania",,
"SRR3954831","Mb92",,,,,,,,,,,"Australia",,,"SAMN05444263","PRJNA335520",,,,,,,"Oceania",,
"SRR3954832","Mb09",,,,,,,,,,,"Australia",,,"SAMN05444192","PRJNA335520",,,,,,,"Oceania",,
"SRR3954833","Mb93",,,,,,,,,,,"Australia",,,"SAMN05444264","PRJNA335520",,,,,,,"Oceania",,
"SRR3954834","Mb94",,,,,,,,,,,"Australia",,,"SAMN05444265","PRJNA335520",,,,,,,"Oceania",,
"SRR3954835","Mb10",,,,,,,,,,,"Australia",,,"SAMN05444193","PRJNA335520",,,,,,,"Oceania",,125
"SRR26204001","Mycoplasmopsis bovis",,,,,,,,,,,"China",,,"SAMN37573123","PRJNA1021812",,,,,,,"Asia",,
"SRR17119126","MYCO81_UJ",,,,,,,,,,,"Canada",,,"SAMN23599466","PRJNA785928",,,,,,,"North America",,
"SRR17119127","MYCO76_U",,,,,,,,,,,"Canada",,,"SAMN23599465","PRJNA785928",,,,,,,"North America",,
"SRR17119128","MYCO66_U",,,,,,,,,,,"Canada",,,"SAMN23599464","PRJNA785928",,,,,,,"North America",,
"SRR17119129","MPLM1150",,,,,,,,,,,"USA",,,"SAMN23599463","PRJNA785928",,,,,,,"North America",,
"SRR17119130","MPLM1149",,,,,,,,,,,"USA",,,"SAMN23599462","PRJNA785928",,,,,,,"North America",,
"SRR17119131","MPLM1148",,,,,,,,,,,"Canada",,,"SAMN23599461","PRJNA785928",,,,,,,"North America",,
"SRR17119132","MPLM1147",,,,,,,,,,,"Canada",,,"SAMN23599460","PRJNA785928",,,,,,,"North America",,
"SRR17119133","MP0070_TL",,,,,,,,,,,"Canada",,,"SAMN23599379","PRJNA785928",,,,,,,"North America",,
"SRR17119134","MPLM1144",,,,,,,,,,,"Canada",,,"SAMN23599459","PRJNA785928",,,,,,,"North America",,
"SRR17119135","MPLM1142",,,,,,,,,,,"Canada",,,"SAMN23599458","PRJNA785928",,,,,,,"North America",,
"SRR17119136","MPLM1141",,,,,,,,,,,"Canada",,,"SAMN23599457","PRJNA785928",,,,,,,"North America",,
"SRR17119137","MPLM1139",,,,,,,,,,,"Canada",,,"SAMN23599456","PRJNA785928",,,,,,,"North America",,
"SRR17119138","MPLM1137",,,,,,,,,,,"Canada",,,"SAMN23599455","PRJNA785928",,,,,,,"North America",,
"SRR17119139","MPLM1136",,,,,,,,,,,"Canada",,,"SAMN23599454","PRJNA785928",,,,,,,"North America",,
"SRR17119140","MPLM1135",,,,,,,,,,,"Canada",,,"SAMN23599453","PRJNA785928",,,,,,,"North America",,
"SRR17119141","MPLM1134",,,,,,,,,,,"Canada",,,"SAMN23599452","PRJNA785928",,,,,,,"North America",,
"SRR17119142","MPLM1133",,,,,,,,,,,"Canada",,,"SAMN23599451","PRJNA785928",,,,,,,"North America",,
"SRR17119143","MPLM1132",,,,,,,,,,,"Canada",,,"SAMN23599450","PRJNA785928",,,,,,,"North America",,
"SRR17119144","MP0064_TL",,,,,,,,,,,"Canada",,,"SAMN23599378","PRJNA785928",,,,,,,"North America",,
"SRR17119145","MPLM1130",,,,,,,,,,,"USA",,,"SAMN23599449","PRJNA785928",,,,,,,"North America",,
"SRR17119146","MPLM1129",,,,,,,,,,,"Canada",,,"SAMN23599448","PRJNA785928",,,,,,,"North America",,
"SRR17119147","MPLM1128",,,,,,,,,,,"Canada",,,"SAMN23599447","PRJNA785928",,,,,,,"North America",,
"SRR17119148","MPLM1127",,,,,,,,,,,"Canada",,,"SAMN23599446","PRJNA785928",,,,,,,"North America",,
"SRR17119149","MPLM1126",,,,,,,,,,,"Canada",,,"SAMN23599445","PRJNA785928",,,,,,,"North America",,
"SRR17119150","MPLM1125",,,,,,,,,,,"USA",,,"SAMN23599444","PRJNA785928",,,,,,,"North America",,
"SRR17119151","MPLM1124",,,,,,,,,,,"USA",,,"SAMN23599443","PRJNA785928",,,,,,,"North America",,
"SRR17119152","MPLM1122",,,,,,,,,,,"USA",,,"SAMN23599442","PRJNA785928",,,,,,,"North America",,
"SRR17119153","MPLM1121",,,,,,,,,,,"USA",,,"SAMN23599441","PRJNA785928",,,,,,,"North America",,
"SRR17119154","MPLM1120",,,,,,,,,,,"USA",,,"SAMN23599440","PRJNA785928",,,,,,,"North America",,
"SRR17119155","MP0063_TL",,,,,,,,,,,"Canada",,,"SAMN23599377","PRJNA785928",,,,,,,"North America",,
"SRR17119156","MPLM1119",,,,,,,,,,,"USA",,,"SAMN23599439","PRJNA785928",,,,,,,"North America",,
"SRR17119157","MPLM1115",,,,,,,,,,,"Canada",,,"SAMN23599438","PRJNA785928",,,,,,,"North America",,
"SRR17119158","MPLM1114",,,,,,,,,,,"Canada",,,"SAMN23599437","PRJNA785928",,,,,,,"North America",,
"SRR17119159","MPLM1111",,,,,,,,,,,"Canada",,,"SAMN23599436","PRJNA785928",,,,,,,"North America",,
"SRR17119160","MPLM1110",,,,,,,,,,,"Canada",,,"SAMN23599435","PRJNA785928",,,,,,,"North America",,
"SRR17119161","MPLM1109",,,,,,,,,,,"Canada",,,"SAMN23599434","PRJNA785928",,,,,,,"North America",,
"SRR17119162","MPLM1108",,,,,,,,,,,"Canada",,,"SAMN23599433","PRJNA785928",,,,,,,"North America",,
"SRR17119163","MPLM1106",,,,,,,,,,,"Canada",,,"SAMN23599432","PRJNA785928",,,,,,,"North America",,
"SRR17119164","MPLM1105",,,,,,,,,,,"Canada",,,"SAMN23599431","PRJNA785928",,,,,,,"North America",,
"SRR17119165","MPLM1104",,,,,,,,,,,"Canada",,,"SAMN23599430","PRJNA785928",,,,,,,"North America",,
"SRR17119166","MP0058_TL",,,,,,,,,,,"Canada",,,"SAMN23599376","PRJNA785928",,,,,,,"North America",,
"SRR17119167","MPLM1103",,,,,,,,,,,"Canada",,,"SAMN23599429","PRJNA785928",,,,,,,"North America",,
"SRR17119168","MPLM1102_Run2",,,,,,,,,,,"Canada",,,"SAMN23599428","PRJNA785928",,,,,,,"North America",,
"SRR17119169","MPLM1101",,,,,,,,,,,"Canada",,,"SAMN23599427","PRJNA785928",,,,,,,"North America",,
"SRR17119170","MPLM1100",,,,,,,,,,,"Canada",,,"SAMN23599426","PRJNA785928",,,,,,,"North America",,
"SRR17119171","MPLM1094",,,,,,,,,,,"Canada",,,"SAMN23599425","PRJNA785928",,,,,,,"North America",,
"SRR17119172","MPLM1093",,,,,,,,,,,"Canada",,,"SAMN23599424","PRJNA785928",,,,,,,"North America",,
"SRR17119173","MPLM1091",,,,,,,,,,,"Canada",,,"SAMN23599423","PRJNA785928",,,,,,,"North America",,
"SRR17119174","MPLM1090",,,,,,,,,,,"Canada",,,"SAMN23599422","PRJNA785928",,,,,,,"North America",,
"SRR17119175","MPLM1086",,,,,,,,,,,"Canada",,,"SAMN23599421","PRJNA785928",,,,,,,"North America",,
"SRR17119176","MPLM1085",,,,,,,,,,,"USA",,,"SAMN23599420","PRJNA785928",,,,,,,"North America",,
"SRR17119177","MP0057",,,,,,,,,,,"Canada",,,"SAMN23599375","PRJNA785928",,,,,,,"North America",,
"SRR17119178","MPLM1084",,,,,,,,,,,"USA",,,"SAMN23599419","PRJNA785928",,,,,,,"North America",,
"SRR17119179","MPLM1083",,,,,,,,,,,"USA",,,"SAMN23599418","PRJNA785928",,,,,,,"North America",,
"SRR17119180","MPLM1082",,,,,,,,,,,"USA",,,"SAMN23599417","PRJNA785928",,,,,,,"North America",,
"SRR17119181","MPLM1081",,,,,,,,,,,"USA",,,"SAMN23599416","PRJNA785928",,,,,,,"North America",,
"SRR17119182","MPLM1080",,,,,,,,,,,"USA",,,"SAMN23599415","PRJNA785928",,,,,,,"North America",,
"SRR17119183","MPLM1079",,,,,,,,,,,"USA",,,"SAMN23599414","PRJNA785928",,,,,,,"North America",,
"SRR17119184","MPLM1078",,,,,,,,,,,"USA",,,"SAMN23599413","PRJNA785928",,,,,,,"North America",,
"SRR17119185","MPLM1077",,,,,,,,,,,"USA",,,"SAMN23599412","PRJNA785928",,,,,,,"North America",,
"SRR17119186","MPLM1075",,,,,,,,,,,"Canada",,,"SAMN23599411","PRJNA785928",,,,,,,"North America",,
"SRR17119187","MPLM1074",,,,,,,,,,,"Canada",,,"SAMN23599410","PRJNA785928",,,,,,,"North America",,
"SRR17119188","MP0009_U",,,,,,,,,,,"Canada",,,"SAMN23599374","PRJNA785928",,,,,,,"North America",,
"SRR17119189","MPLM1073",,,,,,,,,,,"Canada",,,"SAMN23599409","PRJNA785928",,,,,,,"North America",,
"SRR17119190","MPLM1070",,,,,,,,,,,"Canada",,,"SAMN23599408","PRJNA785928",,,,,,,"North America",,
"SRR17119191","MPLM1069",,,,,,,,,,,"Canada",,,"SAMN23599407","PRJNA785928",,,,,,,"North America",,
"SRR17119192","MPLM1068",,,,,,,,,,,"Canada",,,"SAMN23599406","PRJNA785928",,,,,,,"North America",,
"SRR17119193","MPLM1065",,,,,,,,,,,"USA",,,"SAMN23599405","PRJNA785928",,,,,,,"North America",,
"SRR17119194","MPLM1064",,,,,,,,,,,"USA",,,"SAMN23599404","PRJNA785928",,,,,,,"North America",,
"SRR17119195","MPLM1060",,,,,,,,,,,"Canada",,,"SAMN23599403","PRJNA785928",,,,,,,"North America",,
"SRR17119196","MPLM1059",,,,,,,,,,,"Canada",,,"SAMN23599402","PRJNA785928",,,,,,,"North America",,
"SRR17119197","MPLM1057",,,,,,,,,,,"Canada",,,"SAMN23599401","PRJNA785928",,,,,,,"North America",,
"SRR17119198","MPLM1056",,,,,,,,,,,"USA",,,"SAMN23599400","PRJNA785928",,,,,,,"North America",,
